datetime,reqestss_count,failed_requests_count,server_errors_count
2020-07-24 00:00:00,87,42,10
2020-07-24 01:00:00,91,44,6
2020-07-24 02:00:00,90,40,8
2020-07-24 03:00:00,97,49,8
2020-07-24 04:00:00,106,64,19
2020-07-24 05:00:00,1171,53,1
2020-07-24 06:00:00,1322,85,0
2020-07-24 07:00:00,2248,80,0
2020-07-24 08:00:00,649,44,0
2020-07-24 09:00:00,1069,49,0
2020-07-24 10:00:00,1107,70,6
2020-07-24 11:00:00,307,48,2
2020-07-24 12:00:00,147,65,0
2020-07-24 13:00:00,307,72,2
2020-07-24 14:00:00,125,39,0
2020-07-24 15:00:00,109,34,0
2020-07-24 16:00:00,152,56,0
2020-07-24 17:00:00,108,32,0
2020-07-24 18:00:00,108,32,0
2020-07-24 19:00:00,108,32,0
2020-07-24 20:00:00,112,34,0
2020-07-24 21:00:00,108,32,0
2020-07-24 22:00:00,109,32,0
2020-07-24 23:00:00,113,34,0
