datetime,requests_count,failed_requests_count,time-taken_min,time-taken_max,time-taken_mean
2020-07-23 00:00:00,7065,388,0,5086,105
2020-07-23 01:00:00,1788,36,0,1609,40
2020-07-23 02:00:00,1850,54,0,703,40
2020-07-23 03:00:00,1906,50,0,1421,43
2020-07-23 04:00:00,6031,53,0,4786,87
2020-07-23 05:00:00,1933,75,0,391968,572
2020-07-23 06:00:00,6343,305,0,78136,208
2020-07-23 07:00:00,12056,237,0,364815,205
2020-07-23 08:00:00,4343,181,0,51226,179
2020-07-23 09:00:00,6470,94,0,54771,124
2020-07-23 10:00:00,3191,52,0,83594,261
2020-07-23 11:00:00,5901,151,0,54083,124
2020-07-23 12:00:00,11485,122,0,51022,115
2020-07-23 13:00:00,3335,105,0,68673,226
2020-07-23 14:00:00,3742,131,0,73575,210
2020-07-23 15:00:00,2681,110,0,55154,160
2020-07-23 16:00:00,9986,132,0,65110,108
2020-07-23 17:00:00,6512,111,0,63126,112
2020-07-23 18:00:00,3984,48,0,52877,130
2020-07-23 19:00:00,21174,2031,0,54428,71
2020-07-23 20:00:00,2506,38,0,73358,186
2020-07-23 21:00:00,1541,32,0,88947,221
2020-07-23 22:00:00,2179,42,0,193190,541
2020-07-23 23:00:00,1682,51,0,1080835,4082
2020-07-24 00:00:00,13640,1202,0,163939,381
2020-07-24 01:00:00,780,450,0,579469,8258
2020-07-24 02:00:00,2025,149,0,142458,612
2020-07-24 03:00:00,1587,76,0,371927,951
2020-07-24 04:00:00,2586,162,0,216242,671
2020-07-24 05:00:00,3969,60,0,133931,266
2020-07-24 06:00:00,5352,229,0,9518,125
2020-07-24 07:00:00,16031,117,0,28830,147
2020-07-24 08:00:00,7431,229,0,13148,93
2020-07-24 09:00:00,6423,56,0,65845,101
2020-07-24 10:00:00,10695,88,0,94578,115
2020-07-24 11:00:00,6420,294,0,215173,185
2020-07-24 12:00:00,3752,200,0,59819,591
2020-07-24 13:00:00,4686,160,0,410774,816
2020-07-24 14:00:00,3843,109,0,181742,794
2020-07-24 15:00:00,3440,108,0,51183,871
2020-07-24 16:00:00,3270,123,0,56441,914
2020-07-24 17:00:00,3403,96,0,49635,863
2020-07-24 18:00:00,8092,112,0,50792,414
2020-07-24 19:00:00,18128,73,0,994481,192
2020-07-24 20:00:00,3659,49,0,3297363,1086
2020-07-24 21:00:00,2216,90,0,52200,1274
2020-07-24 22:00:00,4141,1040,0,53061,715
2020-07-24 23:00:00,2428,98,0,53031,1166
2020-07-25 00:00:00,17718,1125,0,53566,344
2020-07-25 01:00:00,3023,151,0,51975,958
2020-07-25 02:00:00,2202,137,0,51724,1319
2020-07-25 03:00:00,2634,79,0,60275,719
2020-07-25 04:00:00,2454,32,0,1064,47
2020-07-25 05:00:00,2662,39,0,4222,55
2020-07-25 06:00:00,3986,39,0,2673,59
2020-07-25 07:00:00,3523,56,0,4247,66
2020-07-25 08:00:00,6206,49,0,3850,64
2020-07-25 09:00:00,3569,38,0,9274,88
2020-07-25 10:00:00,7828,53,0,1187,68
2020-07-25 11:00:00,4084,48,0,1531,64
