datetime,requests_count,failed_requests_count,time-taken_min,time-taken_max,time-taken_mean
2020-03-28 00:00:00,21582,321,0,6286,79
2020-03-28 01:00:00,14779,250,0,1531,52
2020-03-28 02:00:00,17698,250,0,3026,51
2020-03-28 03:00:00,54718,260,0,1809,60
2020-03-28 04:00:00,166475,56,0,1125,58
2020-03-28 05:00:00,172020,33,0,928,56
2020-03-28 06:00:00,174327,33,0,1328,56
2020-03-28 07:00:00,174103,32,0,9785,56
2020-03-28 08:00:00,163280,35,0,1203,54
2020-03-28 09:00:00,58116,34,0,1171,48
2020-03-28 10:00:00,58849,32,0,1625,48
2020-03-28 11:00:00,43937,98,0,1505,48
2020-03-28 12:00:00,59986,32,0,1108,48
2020-03-28 13:00:00,60644,32,0,923,45
2020-03-28 14:00:00,125010,49,0,11580,51
2020-03-28 15:00:00,147046,137,0,11095,59
2020-03-28 16:00:00,131134,201,0,3973,60
2020-03-28 17:00:00,165419,44,0,37084,59
2020-03-28 18:00:00,172397,33,0,7917,57
2020-03-28 19:00:00,167802,32,0,7400,58
2020-03-28 20:00:00,174145,32,0,689,56
2020-03-28 21:00:00,155004,34,0,10367,55
2020-03-28 22:00:00,65997,33,0,2800,48
2020-03-28 23:00:00,64442,34,0,734,46
